src,trg,w
25,10457,1
25,10469,1
25,10473,1
25,10476,1
25,10493,1
25,10499,2
25,10502,1
25,10534,1
25,10539,1
25,10547,1
25,10551,1
25,10556,1
25,10557,1
25,10586,1
25,10594,1
25,10605,1
25,10611,1
25,10625,1
25,10630,1
25,10639,1
25,10647,2
25,10663,1
25,10670,1
25,10674,1
25,10682,1
25,10694,2
25,10702,1
25,10706,1
25,10707,1
25,10708,1
25,10724,1
25,10727,1
25,10754,1
25,10779,1
25,10786,1
25,10788,2
25,10789,1
25,10794,1
25,10806,1
25,10813,1
25,10830,1
25,10833,1
25,10840,1
25,10842,1
25,10844,1
25,10850,1
25,10880,1
25,10883,1
25,10892,1
25,10904,1
25,10993,1
25,11006,1
25,11173,1
25,11175,1
25,11178,1
25,11198,1
25,11212,1
25,11250,1
25,11256,1
25,11257,1
25,11391,1
25,11605,1
25,11617,1
25,11817,1
25,11916,1
25,11939,1
25,12002,1
25,12061,1
25,12108,1
25,12111,1
25,12119,2
25,12125,1
25,12145,1
25,12193,1
25,12202,1
25,12286,1
25,12294,1
25,12305,1
25,12322,1
25,12391,1
25,12395,1
25,12398,1
25,12413,2
25,12417,1
25,12418,1
25,12432,1
25,12446,1
25,12453,2
25,12461,1
25,12464,2
25,12466,1
25,12468,1
25,12491,3
25,12500,1
25,12553,1
25,12635,1
25,12672,1
25,12684,1
25,12713,1
25,12716,1
25,12719,1
25,12766,1
25,12784,1
25,12786,1
25,12793,1
25,12794,1
25,12834,1
25,12841,1
25,12850,1
25,12851,1
25,12862,1
25,12873,3
25,12893,1
25,13002,1
25,13036,1
25,13045,1
25,13050,2
25,13061,1
25,13082,1
25,13084,1
25,13151,1
25,13252,1
25,13300,1
25,13306,1
25,13381,1
25,13396,1
25,13410,1
25,13423,1
25,13454,1
25,13585,1
25,13600,1
25,13656,1
25,13657,4
25,13665,1
25,13670,1
25,13686,2
25,13688,1
25,13716,1
25,13732,1
25,13733,1
25,13750,1
25,13767,1
25,13770,2
25,13824,1
25,13840,1
25,13841,1
25,13883,1
25,13913,1
25,13942,1
25,13966,1
25,13973,1
25,13974,1
25,14005,1
25,14068,3
25,14071,1
25,14072,1
25,14098,1
25,14103,1
25,14137,1
25,14163,1
25,14168,1
25,14250,1
25,14257,1
25,14268,1
25,14271,1
25,14289,1
25,14293,2
25,14317,1
25,14330,1
25,14364,1
25,14398,1
25,14399,1
25,14402,1
25,14406,1
25,14430,1
25,14472,1
25,14473,1
25,14479,1
25,14485,1
25,14592,1
25,14617,1
25,14632,1
25,14636,1
25,14643,1
25,14644,1
25,14645,1
25,14651,2
25,14664,2
25,14700,1
25,14703,1
25,14704,1
25,14723,1
25,14727,1
25,14745,3
25,14762,1
25,14770,1
25,14773,2
25,14801,1
25,14815,1
25,14816,1
25,14828,1
25,14829,3
25,14845,2
25,14850,2
25,14851,1
25,14866,1
25,14900,1
25,14944,1
25,14976,1
25,15205,1
25,15208,1
25,15315,1
25,15423,1
25,15545,1
25,15557,1
25,15569,1
25,15590,1
25,15635,1
25,15710,1
25,15734,1
25,15839,1
33,190,1
33,636,1
33,639,1
33,782,1
33,970,1
33,1021,1
33,1201,1
33,1960,1
33,2745,1
33,3748,1
33,3942,1
33,4116,1
33,4907,1
33,5060,1
33,5496,1
33,5500,1
33,5511,1
33,8863,1
33,12041,1
33,12893,1
33,12917,1
33,13029,1
33,13061,2
33,13070,1
33,13082,1
33,13284,1
33,13657,2
33,13670,1
33,13689,1
33,13790,1
33,13868,1
33,13876,1
33,13883,1
33,14140,1
33,14173,1
33,14845,1
34,227,1
34,422,1
34,473,1
34,474,1
34,572,1
34,630,1
34,686,1
34,772,1
34,882,3
34,1380,1
34,1425,1
34,1481,2
34,1500,1
34,1570,1
34,1575,1
34,1640,1
34,1655,1
34,1705,1
34,1736,1
34,1802,1
34,1863,1
34,1874,1
34,1886,2
34,1923,1
34,2001,1
34,2036,1
34,2040,1
34,2042,1
34,2147,2
34,2176,1
34,2208,1
34,2330,1
34,2331,1
34,2413,1
34,2447,1
34,2488,1
34,2495,1
34,2574,2
34,2575,1
34,2605,1
34,2606,2
34,2762,2
34,3157,2
34,3239,1
34,3315,1
34,3391,1
34,3393,1
34,3397,4
34,3536,3
34,3603,1
34,3666,1
34,3905,1
34,4057,1
34,4261,1
34,4353,1
34,5891,1
34,5915,1
34,6006,1
34,6139,2
34,6358,1
34,6403,1
34,6481,1
34,6565,1
34,6588,3
34,6662,1
34,6669,1
34,6727,1
34,6730,1
34,6734,1
34,6761,1
34,6865,1
34,6918,1
34,7014,1
34,7221,1
34,7373,1
34,7499,3
34,7539,1
34,7556,1
34,7753,2
34,7945,1
34,8008,1
34,8044,1
34,8093,1
34,8139,1
34,8187,1
34,8281,1
34,8457,1
34,8514,1
34,8627,1
34,8677,1
34,8888,2
34,8923,1
34,8964,1
34,9117,1
34,9357,1
34,9453,1
34,9605,1
34,9766,1
34,10080,1
34,10300,1
34,10382,1
34,10482,1
34,10486,1
34,10509,1
34,10521,1
34,10616,1
34,10663,1
34,10708,1
34,10748,1
34,10764,1
34,10830,1
34,10898,1
34,11175,1
34,11198,1
34,11227,1
34,11577,1
34,11591,1
34,11829,1
34,12473,1
34,12542,1
34,12757,1
34,12981,1
34,13764,1
34,13770,1
34,14456,1
34,14636,1
34,14711,1
34,14745,1
34,14851,1
34,15802,1
35,155,1
35,654,1
35,839,1
35,1413,1
35,1468,1
35,1819,1
35,1968,1
35,2188,1
35,2234,1
35,2244,1
35,2371,1
35,2453,1
35,3557,1
35,5998,1
35,6536,1
35,6696,1
35,12384,1
35,12786,1
35,12821,1
37,423,1
37,428,1
37,456,1
37,478,1
37,521,1
37,623,1
37,653,1
37,700,1
37,721,1
37,794,1
37,811,1
37,839,1
37,1303,1
37,1402,1
37,1577,1
37,1746,1
37,1785,1
37,1811,1
37,1842,3
37,1901,1
37,1936,1
37,2042,1
37,2056,2
37,2129,1
37,2147,1
37,2213,1
37,2233,1
37,2256,1
37,2263,1
37,2273,1
37,2428,1
37,2479,1
37,2489,1
37,2502,1
37,2510,1
37,2588,1
37,2625,1
37,2635,1
37,2830,1
37,3110,1
37,3125,1
37,3153,1
37,3162,1
37,3248,1
37,3315,1
37,3351,1
37,3485,1
37,3598,1
37,3668,1
37,3702,1
37,3973,1
37,4015,1
37,4195,1
37,4209,1
37,4613,1
37,5320,1
37,5504,1
37,5944,3
37,6169,1
37,6199,1
37,6305,1
37,6352,1
37,6358,1
37,6399,3
37,6432,1
37,6730,1
37,7147,1
37,7195,1
37,7556,1
37,7640,1
37,7653,1
37,7818,1
37,8420,1
37,8609,1
37,9048,1
37,9100,1
37,9331,1
37,9335,1
37,9714,1
37,9737,1
37,10196,1
37,10252,1
37,10424,1
37,10475,1
37,10506,1
37,10707,1
37,11044,1
37,11776,1
37,11829,1
37,12023,1
37,12322,1
37,12515,1
37,12791,1
37,13456,1
37,13657,1
37,13732,1
37,14662,1
37,14697,1
37,15604,1
37,15839,1
40,102,1
40,192,1
40,227,1
40,239,1
40,442,1
40,854,5
40,1027,1
40,1103,1
40,1123,1
40,1257,2
40,1275,3
40,1465,1
40,1655,1
40,1916,1
40,1972,1
40,2001,1
40,2127,1
40,2276,1
40,2335,1
40,2390,1
40,3026,1
40,3196,1
40,3707,1
40,3740,1
40,3926,2
40,3950,1
40,4024,1
40,4064,1
40,4123,1
40,4150,1
40,5298,1
40,5317,1
40,5409,1
40,5426,1
40,6478,1
40,7374,1
40,7499,1
40,8394,1
40,8457,1
40,8483,1
40,8502,1
40,8619,1
40,8939,1
40,10053,1
40,10061,1
40,10095,1
40,10195,1
40,10289,1
40,10310,1
40,10344,1
40,10355,1
40,10446,1
40,10455,1
40,10466,1
40,10480,1
40,10542,1
40,10647,2
40,10659,1
40,10719,1
40,10775,1
40,10830,1
40,10831,1
40,10877,1
40,10883,1
40,11170,1
40,11509,1
40,12305,1
40,12649,1
40,12908,1
40,12943,2
40,12964,1
40,12969,1
40,12974,1
40,13012,1
40,13104,1
40,13106,2
40,13110,3
40,13190,1
40,13195,1
40,13217,1
40,13243,1
40,13330,1
40,13381,1
40,13642,3
40,13689,1
40,13712,1
40,13740,1
40,13748,1
40,13752,2
40,13754,1
40,13767,1
40,13784,1
40,13812,1
40,13813,1
40,13824,1
40,13825,1
40,13832,1
40,13860,1
40,13868,1
