srg,trg,w
141,2555,1
141,2594,1
141,2624,1
141,2626,1
141,4028,1
141,4051,1
141,4750,1
141,4921,1
141,5054,1
141,5339,1
141,10091,1
141,10172,1
141,10292,1
141,10358,1
141,10402,1
141,10452,1
141,10544,1
141,10604,1
141,10622,1
141,11135,1
141,11140,1
141,11438,1
141,11809,1
141,12647,1
141,12782,1
141,12896,1
141,12915,1
141,12921,1
141,12936,1
141,12952,1
141,12992,1
141,12993,1
141,13011,1
141,13050,1
141,13054,1
141,13116,1
141,13123,1
141,13249,1
141,13352,1
141,13353,1
141,13377,1
141,13671,1
141,13721,1
141,13739,1
141,13784,1
141,13785,1
141,13862,1
141,13878,1
141,14758,1
144,360,1
144,2177,1
144,2267,1
144,2392,1
144,2622,1
144,4051,1
148,9135,1
151,870,1
151,13811,1
153,2620,1
154,1353,1
157,1848,1
157,1881,1
157,1900,1
157,2039,1
157,2109,1
157,2178,1
157,2191,1
157,2640,1
157,3202,1
157,6763,1
157,8589,1
157,9371,1
158,413,1
158,753,1
158,756,1
158,1113,1
158,1716,1
158,1828,1
158,1994,1
158,2106,1
158,2225,1
158,2390,1
158,2444,1
158,2460,1
158,2463,1
158,2505,1
158,2573,1
158,2612,1
158,3239,1
158,3279,1
158,3293,1
158,3620,1
158,3897,1
158,3987,1
158,3996,1
158,5977,1
158,6174,1
158,6460,1
158,6615,1
158,6639,1
158,6694,1
158,8932,1
158,9822,1
158,10238,1
158,10491,1
158,10612,1
158,10788,1
158,12504,1
158,12931,1
158,14364,1
158,14467,1
158,15487,1
158,15599,1
161,623,1
161,1616,1
161,1818,1
161,1937,1
161,2134,1
161,2160,1
161,2177,1
161,2233,1
161,2284,1
161,2386,1
161,2401,1
161,2572,1
161,2620,1
161,2809,1
161,3358,2
161,5386,1
161,8605,1
161,8615,1
161,8723,1
161,8896,1
161,11217,1
161,12271,1
161,13386,1
161,14749,1
163,8875,1
164,13278,1
164,13754,1
168,1303,1
168,3603,1
168,6242,1
169,452,1
169,604,1
169,921,1
169,12603,1
169,13676,1
169,13787,1
169,13832,1
170,366,1
170,441,1
170,616,1
170,722,1
170,772,1
170,1038,1
170,1570,1
170,1655,1
170,1853,1
170,2091,1
170,2431,1
170,2488,1
170,2653,1
170,3087,1
170,3516,1
170,7138,1
170,7172,1
170,7945,1
170,8980,1
170,9004,1
170,9061,1
170,9170,1
170,9173,1
170,9304,1
