id name province latitude longitude
3335 3335 FI 11.214638 43.982258
3684 3684 SI 11.336285 43.317444
5116 5116 SI 11.804606 43.2112
12434 12434 AR 11.530769 43.565407
9745 9745 PI 10.383304 43.69307
1530 1530 GR 11.003954 42.69799
13076 13076 GR 11.114414 42.759808
13054 13054 GR 10.851585 42.9081
13355 13355 GR 10.78235 42.897972
13206 13206 GR 11.115089 42.760273
672 672 GR 11.205004 42.393127
13159 13159 GR 11.207299 42.387802
10646 10646 LI 10.515998 42.99619
12159 12159 AR 11.971778 43.261898
5825 5825 FI 11.110789 43.696346
6152 6152 FI 10.92151 43.72512
13876 13876 GR 11.116731 42.75823
10833 10833 LI 10.333534 43.572647
6181 6181 FI 11.378966 44.118774
13794 13794 AR 11.76919 43.26974
2180 2180 FI 11.25417 43.767258
13658 13658 GR 10.719728 42.937492
11164 11164 PI 10.615307 43.29635693210426
14831 14831 LU 10.296131 43.82476
13673 13673 GR 11.21311 42.438534
1343 1343 GR 10.8822 42.766026
13656 13656 GR 10.880611 42.76406
13758 13758 GR 10.894152 42.845264
107 107 GR 10.7807 42.8324
1104 1104 GR 10.762656 42.812397
13080 13080 GR 10.881394 42.7617
13747 13747 GR 10.880551 42.76379
1211 1211 GR 11.212722 42.439087
473 473 GR 10.880958 42.762897
1093 1093 GR 11.209805 42.43762
13124 13124 GR 10.881352 42.764812
2577 2577 FI 11.537343 43.728268
13316 13316 GR 10.880705 42.76267
13306 13306 GR 10.881649 42.764908
2395 2395 FI 11.213465 43.79171
13005 13005 GR 10.881289 42.763588
13682 13682 GR 10.885208 42.766205
13711 13711 GR 11.184794 42.533356
3982 3982 SI 11.790002 43.218384
14750 14750 LU 10.411774 44.13358
8447 8447 PI 10.40232 43.713722
10023 10023 LI 10.499063 43.296097
9994 9994 LI 10.459721 43.32203
8814 8814 PI 10.397358 43.721684
13753 13753 GR 11.210665 42.438473
10600 10600 LI 10.519822 43.31267
2092 2092 FI 11.254319 43.768932
5415 5415 SI 11.957135 43.051144
14693 14693 LU 10.167573 43.957726
5635 5635 SI 11.308942 43.3399
13686 13686 GR 10.751991 42.923042
3951 3951 SI 11.332246 43.32173
3905 3905 SI 11.504822 43.349327
1070 1070 GR 10.7838 42.92707
13116 13116 GR 10.784875 42.885292
3749 3749 SI 11.250048 43.266785
4763 4763 SI 11.62324 43.28776
3753 3753 SI 11.311123 43.302532
10612 10612 LI 10.527107 42.922768
13823 13823 GR 10.758711 42.92138
12641 12641 AR 11.882552 43.463985
12982 12982 GR 10.873866 42.764194
13151 13151 GR 10.980237 42.71753
13203 13203 GR 10.878603 42.76162
2435 2435 FI 11.264669 43.77133
2365 2365 FI 11.256376 43.777046
12957 12957 GR 11.585955 42.830425
5694 5694 SI 11.674843 42.87588
77 77 GR 10.881578 42.762608
13780 13780 GR 10.889425 42.77798
13691 13691 GR 10.881159 42.76372
109 109 GR 10.76042 42.8098
1167 1167 GR 10.882044 42.76324
12896 12896 GR 10.780483 42.88223
4809 4809 SI 11.677064 42.87886
1278 1278 GR 10.879649 42.761715
5649 5649 SI 11.626946 42.89874
5638 5638 SI 11.8194 43.038918
5318 5318 SI 11.626206 42.89131
12934 12934 GR 11.627802 42.84194
13022 13022 GR 11.103451 42.75425
1582 1582 GR 11.549998 43.02244312500002
4046 4046 SI 11.330485 43.315285
5502 5502 SI 11.489828 43.060486
13106 13106 GR 11.120772 42.43562
10576 10576 LI 10.541362 43.085857
10637 10637 LI 10.538165 43.092533
2537 2537 FI 11.257965 43.770973
8479 8479 PI 10.403629 43.725925
2604 2604 FI 11.254324 43.77607
13343 13343 GR 10.889896 42.76128
2338 2338 FI 11.189864 43.61602
13770 13770 GR 10.755324 42.921886
9915 9915 PI 10.369564 43.70344
11214 11214 PI 10.401197 43.717243
10811 10811 LI 10.313506 43.560917
